tokenId,name,description,image,background,skins,clothes,necklaces,mouth,eyes,glasses,tops,back,earings
457,POLC 457,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",457.png,trippz,latte,cream shirt,,gummy,cyan light,black movie,,,
1462,POLC 1462,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1462.png,Pink Bubble,black,oldblu tiedye,,smile,cocke,,anchor cap,,
1032,POLC 1032,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1032.png,bluez,cyan,blue varsity,,sad,reg,yellow neon,cowboy hat,,
292,POLC 292,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",292.png,mintz,black,red jersey,,sad,sleep,red vr,mint fire,,
768,POLC 768,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",768.png,pinkz,black,yellow sweater,,smile,happiez,,,wood,
338,POLC 338,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",338.png,redz,cyan,gray puffer jacket,,yummy,happiez,,red party,,
787,POLC 787,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",787.png,sky blue,latte,astronaut suit,gold,happy,focus,,red party,wood,trippie gold.PNG
1248,POLC 1248,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1248.png,greenz,latte,blue christmas,silverz,dum,stars,,latte bc,,
857,POLC 857,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",857.png,glitch,green,cream shirt,,happy,puffy,,white beanie,,
154,POLC 154,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",154.png,redz,cyan,orange jumpsuit,,sad,focus,,red mohawk,,
1161,POLC 1161,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1161.png,redz,green,,,dum,puffy,pixel,,,
504,POLC 504,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",504.png,Green Bubble,green,,,blob,dollars,pink,,wood,silver.PNG
1024,POLC 1024,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1024.png,yellowz,green,blue tiedye,,small pee,sadz,,,,
1474,POLC 1474,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1474.png,greenz,mecha,red shirt,,gummy,reg,,yellow pol cap,,
441,POLC 441,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",441.png,comicz,green,red tanktop,,smoking,cocke,,blue pol cap,,
912,POLC 912,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",912.png,yellowz,mecha,pink tiedye,silverz,smoking,happiez,,,,
695,POLC 695,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",695.png,Pink Bubble,green,,,yummy,fire,pink,black bc,wood,triple silver.PNG
380,POLC 380,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",380.png,sky blue,mecha,blue christmas,,big pee,puffy,,mint bc,wood,trippie gold.PNG
553,POLC 553,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",553.png,yellowz,latte,brown jumpsuit,,happy,blue laser,,blue beanie,,
1136,POLC 1136,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1136.png,sunset,brown,blue tiedye,,bored,glassy,,,,gold circle.PNG
103,POLC 103,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",103.png,yellowz,latte,cream shirt,,happy,happiez,,,,gold circle.PNG
800,POLC 800,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",800.png,mintz,gold,orange jersey,,yawn,happiez,,black og,,trippie gold.PNG
945,POLC 945,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",945.png,purple,cyan,orange buffalocheck,,small pee,cocke,,,,
416,POLC 416,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",416.png,Pink Bubble,drippy,blue varsity,,happy,sleep,,,,
1423,POLC 1423,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1423.png,Green Bubble,black,orange puffer,,smoking,glassy,purple vr,cowboy hat,,
1073,POLC 1073,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1073.png,sky blue,brown,green fire,,dum,love,,,wood,gold circle.PNG
1264,POLC 1264,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1264.png,sky blue,mecha,blue pufferz,,smile,blue laser,,devil horn,katana,
251,POLC 251,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",251.png,sky blue,gold,,,dum,dizzy,blackz,purple mohawk,,
601,POLC 601,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",601.png,Pink Bubble,brown,,,smoking,dizzy,pink,green mohawk,,triple gold.PNG
314,POLC 314,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",314.png,Blue Bubble,blue,,,sad,focus,,,wood,
1321,POLC 1321,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1321.png,glitch,brown,,,bored,sadz,pixel,mexician,,silver circle.PNG
744,POLC 744,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",744.png,Green Bubble,latte,,,yawn,boredz,yellow neon,,,triple silver.PNG
894,POLC 894,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",894.png,Blue Bubble,drippy,red shirt,,dum,sleep,pixel,,,
197,POLC 197,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",197.png,rainbow,brown,yellow tanktop,,meh pee,focus,yellow neon,red bc,,
1458,POLC 1458,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1458.png,rainbow,blue,,gold,whiser,glassy,,,wood,
1008,POLC 1008,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1008.png,redz,latte,orange pol,,sad,cyan light,,,,
528,POLC 528,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",528.png,cloud,black,astronaut suit,,smile,reg,,laurel,,
482,POLC 482,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",482.png,mintz,brown,,,dum,dizzy,yellow neon,banana cap,,
178,POLC 178,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",178.png,trippz,latte,pink tiedye,,whiser,cyan light,,,wood,triple silver.PNG
20,POLC 20,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",20.png,sunset,black,black tanktop,,rainbow,god,,cowboy hat,,
656,POLC 656,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",656.png,sunset,drippy,bk banan tshirt,silverz,bubblegum,happiez,,,,
1399,POLC 1399,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1399.png,yellowz,latte,blue tiedye,,whiser,dizzy,blackz,cream pol cap,,
206,POLC 206,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",206.png,orangez,cyan,orange crewneck,silverner,rainbow,reg,,mint anchor,,
1233,POLC 1233,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1233.png,glitch,brown,blue jumpsuit,,blob,stars,red neon,,,
713,POLC 713,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",713.png,Blue Bubble,brown,orange jumpsuit,,yummy,focus,,,,triple silver.PNG
1376,POLC 1376,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1376.png,yellowz,blue,orange jumpsuit,,whiser,sleep,,santa hat,,
343,POLC 343,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",343.png,pinkz,gold,red jersey,,whiser,dollars,pixel,,,
590,POLC 590,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",590.png,sky blue,drippy,blue kimono,,smile,shock,white movie,banana cap,,
98,POLC 98,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",98.png,orangez,blue,,,yawn,boredz,,black og,,
969,POLC 969,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",969.png,mintz,black,,,yummy,puffy,mint neon,,,
986,POLC 986,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",986.png,greenz,drippy,orange crewneck,,bubblegum,boredz,black movie,ahoy,,
77,POLC 77,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",77.png,purple,black,dark blue crewneck,,rainbow,puffy,purple vr,,,
1225,POLC 1225,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1225.png,purple,cyan,red tanktop,,sad,sleep,mint neon,,,
210,POLC 210,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",210.png,bluez,blue,bk friends tshirt,,sad,stars,,white cap,,silver.PNG
640,POLC 640,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",640.png,sky blue,blue,bk banan tshirt,silverner,blob,dizzy,mint neon,cowboy hat,wood,
355,POLC 355,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",355.png,greenz,black,target hoodie,,small pee,dizzy,blackz,,,silver.PNG
1360,POLC 1360,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1360.png,purple,latte,,,smile,red laser,,,,
705,POLC 705,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",705.png,Pink Bubble,black,,,bored,fire,,ahoy,,
1419,POLC 1419,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1419.png,Green Bubble,brown,orange jersey,,gummy,stars,yellow neon,white cap,,
1049,POLC 1049,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1049.png,melon,cyan,rose sweaters,,yummy,happiez,yellow neon,,katana,
586,POLC 586,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",586.png,pinkz,brown,pink tiedye,,dum,fire,,,,silver.PNG
569,POLC 569,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",569.png,sunset,gold,red jersey,,crongz,dollars,purple vr,,,
139,POLC 139,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",139.png,purple,blue,black shirt,,blob,cocke,,,wood,
61,POLC 61,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",61.png,orangez,black,,silverner,yawn,cocke,,mint bc,,
990,POLC 990,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",990.png,yellowz,brown,pink tiedye,,dum,puffy,,,,
617,POLC 617,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",617.png,purple,brown,red christmas,,yummy,shock,,black cap,,
247,POLC 247,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",247.png,Blue Bubble,blue,bk banan tshirt,,big pee,focus,mint neon,anchor cap,,triple silver.PNG
1272,POLC 1272,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1272.png,sky blue,latte,cream shirt,,small pee,cyan light,red neon,,,silver circle.PNG
752,POLC 752,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",752.png,sky blue,blue,blue kimono,,dum,focus,,red bc,wood,
1337,POLC 1337,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1337.png,greenz,blue,life jacket,,crongz,blue laser,,,,
302,POLC 302,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",302.png,Pink Bubble,brown,cool hoodie,,yawn,fire,red vr,,,
181,POLC 181,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",181.png,mintz,brown,oldblu tiedye,,dum,shock,purple vr,,,
928,POLC 928,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",928.png,orangez,brown,sad hoodie,,blob,sadz,,green party,,
882,POLC 882,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",882.png,Blue Bubble,blue,cream shirt,gold,crongz,sleep,,purple mohawk,,
36,POLC 36,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",36.png,trippz,green,gray varsity,,happy,focus,,white beanie,,
494,POLC 494,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",494.png,orangez,brown,wt chimp tshirt,,yummy,happiez,,red mohawk,,
549,POLC 549,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",549.png,yellowz,green,tanktop,,sad,reg,red neon,,katana,silver.PNG
1086,POLC 1086,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1086.png,yellowz,green,yellow tshirt,,bored,sleep,,banana cap,,
119,POLC 119,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",119.png,greenz,brown,blue fire,silver brick,crongz,god,,yellow pol cap,,
41,POLC 41,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",41.png,Green Bubble,blue,,silver brick,yawn,sadz,,yellow og,,
1439,POLC 1439,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1439.png,mintz,drippy,black tanktop,,meh pee,sadz,,,,
1069,POLC 1069,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1069.png,purple,green,,,yawn,blue laser,,,,
375,POLC 375,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",375.png,bluez,mecha,cream shirt,,sad,red laser,,toycap,,
1340,POLC 1340,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1340.png,orangez,latte,green varsity,,dum,cyan light,red vr,yellow fire,,
725,POLC 725,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",725.png,sky blue,drippy,bk banan tshirt,,yawn,happiez,,santa hat,,
